timestamp,symbol,side,qty,entry_price,exit_price,pnl,pnl_pct,exit_reason,strategy
2020-03-04T05:00:00+00:00,MARA,buy,11627,0.8604300143122673,0.9095450262129308,571.06,5.71,take_profit,RSI_SMA
2020-03-06T05:00:00+00:00,MARA,buy,11051,0.9104550262391566,0.8895549857020378,-230.97,-2.3,stop_loss,RSI_SMA
2020-03-09T04:00:00+00:00,MARA,buy,11274,0.8904449856877327,0.7196400285959245,-1925.66,-19.18,stop_loss,RSI_SMA
2020-03-12T04:00:00+00:00,MARA,buy,13668,0.7203600286245345,0.5397300214469433,-2468.85,-25.07,stop_loss,RSI_SMA
2020-03-13T04:00:00+00:00,MARA,buy,17767,0.540270021468401,0.599700023829937,1055.89,11.0,take_profit,RSI_SMA
2020-03-16T04:00:00+00:00,MARA,buy,16166,0.6003000238537788,0.4897550095319748,-1787.07,-18.41,stop_loss,RSI_SMA
2020-03-17T04:00:00+00:00,MARA,buy,19431,0.4902450095415115,0.4797599892765284,-203.73,-2.14,stop_loss,RSI_SMA
2020-03-18T04:00:00+00:00,MARA,buy,19793,0.48023998926579947,0.3998000059574843,-1592.15,-16.75,stop_loss,RSI_SMA
2020-03-19T04:00:00+00:00,MARA,buy,23354,0.4002000059634447,0.4797599892765284,1858.04,19.88,take_profit,RSI_SMA
2020-03-20T04:00:00+00:00,MARA,buy,19849,0.48023998926579947,0.5197399809360504,784.04,8.23,take_profit,RSI_SMA
2020-03-23T04:00:00+00:00,MARA,buy,18473,0.5202599809169769,0.4497749880850315,-1302.07,-13.55,stop_loss,RSI_SMA
2020-03-24T04:00:00+00:00,MARA,buy,21057,0.45022498807311057,0.5197399809360504,1463.78,15.44,take_profit,RSI_SMA
2020-03-25T04:00:00+00:00,MARA,buy,18504,0.5202599809169769,0.49975,-379.52,-3.94,stop_loss,RSI_SMA
2020-03-30T04:00:00+00:00,MARA,buy,19168,0.50025,0.4897550095319748,-201.17,-2.1,stop_loss,RSI_SMA
2020-08-27T04:00:00+00:00,MARA,buy,3765,2.5412699618339536,2.258869990468025,-1063.24,-11.11,stop_loss,RSI_SMA
2020-08-28T04:00:00+00:00,MARA,buy,4184,2.2611299904584885,2.5587199428081515,1245.12,13.16,take_profit,RSI_SMA
