timestamp,symbol,side,qty,entry_price,exit_price,pnl,pnl_pct,exit_reason,strategy
2021-11-19T05:00:00+00:00,GFAI,buy,147,68.03399999999999,65.967,-303.85,-3.04,stop_loss,RSI_SMA
2021-11-22T05:00:00+00:00,GFAI,buy,151,66.033,58.37080152511597,-1156.99,-11.6,stop_loss,RSI_SMA
2021-11-23T05:00:00+00:00,GFAI,buy,168,58.42920152664184,66.36680152511597,1333.52,13.58,take_profit,RSI_SMA
2021-11-24T05:00:00+00:00,GFAI,buy,150,66.43320152664184,63.968,-369.78,-3.71,stop_loss,RSI_SMA
2021-11-26T05:00:00+00:00,GFAI,buy,155,64.032,61.169400762557984,-443.7,-4.47,stop_loss,RSI_SMA
2021-11-29T05:00:00+00:00,GFAI,buy,161,61.23060076332092,57.971000000000004,-524.8,-5.32,stop_loss,RSI_SMA
2021-11-30T05:00:00+00:00,GFAI,buy,169,58.028999999999996,69.56519847488404,1949.62,19.88,take_profit,RSI_SMA
2021-12-21T05:00:00+00:00,GFAI,buy,233,43.14155893135071,47.17640076255799,940.12,9.35,take_profit,RSI_SMA
2021-12-23T05:00:00+00:00,GFAI,buy,214,47.22360076332092,54.37280152511597,1529.93,15.14,take_profit,RSI_SMA
2021-12-30T05:00:00+00:00,GFAI,buy,212,48.424201526641845,46.37680152511597,-434.05,-4.23,stop_loss,RSI_SMA
2022-02-09T05:00:00+00:00,GFAI,buy,376,27.213600763320922,28.625679389953614,530.94,5.19,take_profit,RSI_SMA
2022-02-10T05:00:00+00:00,GFAI,buy,359,28.65431938934326,27.266360686302185,-498.28,-4.84,stop_loss,RSI_SMA
2022-02-11T05:00:00+00:00,GFAI,buy,375,27.29364068698883,22.38879961872101,-1839.32,-17.97,stop_loss,RSI_SMA
2022-02-14T05:00:00+00:00,GFAI,buy,449,22.411199618339538,19.790099237442018,-1176.87,-11.7,stop_loss,RSI_SMA
2022-02-15T05:00:00+00:00,GFAI,buy,502,19.809899236679076,22.788599237442018,1495.31,15.04,take_profit,RSI_SMA
2022-02-17T05:00:00+00:00,GFAI,buy,443,22.811399236679076,21.42928053379059,-612.28,-6.06,stop_loss,RSI_SMA
2022-02-18T05:00:00+00:00,GFAI,buy,468,21.450720534324645,15.152419847488405,-2947.6,-29.36,stop_loss,RSI_SMA
2022-02-22T05:00:00+00:00,GFAI,buy,642,15.167579847335814,17.31133969497681,1376.29,14.13,take_profit,RSI_SMA
2022-02-23T05:00:00+00:00,GFAI,buy,570,17.32865969467163,14.512740457534791,-1605.07,-16.25,stop_loss,RSI_SMA
2022-02-24T05:00:00+00:00,GFAI,buy,669,14.527260457992552,16.43178053379059,1274.12,13.11,take_profit,RSI_SMA
2022-04-21T04:00:00+00:00,GFAI,buy,377,26.133060839653012,30.9045400762558,1798.85,18.26,take_profit,RSI_SMA
2022-04-25T04:00:00+00:00,GFAI,buy,315,31.775880228996275,28.785599237442018,-941.94,-9.41,stop_loss,RSI_SMA
2022-04-26T04:00:00+00:00,GFAI,buy,345,28.814399236679076,26.266860686302188,-878.9,-8.84,stop_loss,RSI_SMA
2022-05-03T04:00:00+00:00,GFAI,buy,374,26.293140686988828,24.827580152511597,-548.12,-5.57,stop_loss,RSI_SMA
2022-05-06T04:00:00+00:00,GFAI,buy,394,24.852420152664184,24.147919847488403,-277.57,-2.83,stop_loss,RSI_SMA
2022-05-10T04:00:00+00:00,GFAI,buy,472,20.69034030532837,18.03098091506958,-1255.22,-12.85,stop_loss,RSI_SMA
2022-05-12T04:00:00+00:00,GFAI,buy,544,17.728859313011167,17.071459923744204,-357.63,-3.71,stop_loss,RSI_SMA
2022-05-13T04:00:00+00:00,GFAI,buy,562,17.088539923667906,18.390799618721008,731.87,7.62,take_profit,RSI_SMA
2022-05-17T04:00:00+00:00,GFAI,buy,526,18.40919961833954,23.988,2934.45,30.3,take_profit,RSI_SMA
2022-06-15T04:00:00+00:00,GFAI,buy,536,18.60930038166046,20.349820610046386,932.92,9.35,take_profit,RSI_SMA
2022-06-24T04:00:00+00:00,GFAI,buy,494,20.37018061065674,21.589200381278992,602.2,5.98,take_profit,RSI_SMA
2022-07-14T04:00:00+00:00,GFAI,buy,843,12.006,10.794600190639496,-1021.21,-10.09,stop_loss,RSI_SMA
2022-07-15T04:00:00+00:00,GFAI,buy,928,10.80540019083023,10.474759542465211,-306.83,-3.06,stop_loss,RSI_SMA
2022-07-18T04:00:00+00:00,GFAI,buy,953,10.485239542007445,10.194899809360505,-276.69,-2.77,stop_loss,RSI_SMA
2022-07-20T04:00:00+00:00,GFAI,buy,976,10.205099809169768,10.714640266895294,497.31,4.99,take_profit,RSI_SMA
2022-07-22T04:00:00+00:00,GFAI,buy,934,10.725360267162323,14.392799618721009,3425.39,34.19,take_profit,RSI_SMA
2022-07-26T04:00:00+00:00,GFAI,buy,863,12.006,11.194399809360505,-700.41,-6.76,stop_loss,RSI_SMA
2022-08-02T04:00:00+00:00,GFAI,buy,918,11.205599809169769,10.914540076255799,-267.19,-2.6,stop_loss,RSI_SMA
2022-08-30T04:00:00+00:00,GFAI,buy,909,11.285639732837677,10.794600190639496,-446.35,-4.35,stop_loss,RSI_SMA
2022-09-22T04:00:00+00:00,GFAI,buy,1017,10.045019961833953,9.47525954246521,-579.45,-5.67,stop_loss,RSI_SMA
2022-10-06T04:00:00+00:00,GFAI,buy,1071,9.484739542007446,10.354819656848909,931.86,9.17,take_profit,RSI_SMA
2022-10-28T04:00:00+00:00,GFAI,buy,1090,9.404699618339539,9.0354799618721,-402.45,-3.93,stop_loss,RSI_SMA
2022-11-08T05:00:00+00:00,GFAI,buy,1227,8.32415969467163,7.836080152511597,-598.87,-5.86,stop_loss,RSI_SMA
2022-11-09T05:00:00+00:00,GFAI,buy,1294,7.843920152664184,6.836580152511597,-1303.5,-12.84,stop_loss,RSI_SMA
2022-11-14T05:00:00+00:00,GFAI,buy,1465,6.8434201526641845,7.9560200381279,1629.96,16.26,take_profit,RSI_SMA
2022-11-21T05:00:00+00:00,GFAI,buy,1339,7.603799904584884,7.196399809360504,-545.51,-5.36,stop_loss,RSI_SMA
2022-12-20T05:00:00+00:00,GFAI,buy,1534,6.603299904584884,6.236879771232605,-562.09,-5.55,stop_loss,RSI_SMA
2022-12-21T05:00:00+00:00,GFAI,buy,1614,6.243119771003723,5.877060114383698,-590.82,-5.86,stop_loss,RSI_SMA
2022-12-23T05:00:00+00:00,GFAI,buy,1703,5.882940114498138,5.717139790296555,-282.36,-2.82,stop_loss,RSI_SMA
2022-12-27T05:00:00+00:00,GFAI,buy,1745,5.722859790086746,5.397300095319748,-568.1,-5.69,stop_loss,RSI_SMA
2022-12-29T05:00:00+00:00,GFAI,buy,1838,5.402700095415115,5.197399809360505,-377.34,-3.8,stop_loss,RSI_SMA
2022-12-30T05:00:00+00:00,GFAI,buy,1902,5.202599809169769,5.077459923744202,-238.02,-2.41,stop_loss,RSI_SMA
2023-01-03T05:00:00+00:00,GFAI,buy,1942,5.082539923667907,6.516739980936051,2785.22,28.22,take_profit,RSI_SMA
2023-03-02T05:00:00+00:00,GFAI,buy,1441,7.043519961833954,6.786604961872102,-370.21,-3.65,stop_loss,RSI_SMA
2023-03-03T05:00:00+00:00,GFAI,buy,1488,6.793394961833953,8.72563454246521,2875.17,28.44,take_profit,RSI_SMA
2023-03-06T05:00:00+00:00,GFAI,buy,1190,8.734364542007446,8.105944656848909,-747.82,-7.19,stop_loss,RSI_SMA
