2026-07-06 06:48:07,563 | INFO     | Stratum | Starting Stratum v1.0.0
2026-07-06 06:56:55,657 | INFO     | Stratum | Starting Stratum v1.0.0
2026-07-06 06:57:37,458 | INFO     | Stratum.Config | Loaded profile 'default' from C:\Woven Model\Development\AI & Automation\End Product\Backtesting Bot\stratum\profiles\default.json
2026-07-06 06:57:37,459 | INFO     | Stratum.UI | Configuration loaded.
2026-07-06 06:57:37,461 | INFO     | Stratum.UI | Stratum initialized. Trial period expired. Please activate a license key.
2026-07-06 06:59:32,584 | INFO     | Stratum.Config | Saved profile 'default' to C:\Woven Model\Development\AI & Automation\End Product\Backtesting Bot\stratum\profiles\default.json
2026-07-06 06:59:32,584 | INFO     | Stratum.UI | Configuration saved.
2026-07-06 06:59:32,589 | INFO     | Stratum.UI | Fetching data for 5 symbols...
2026-07-06 06:59:32,750 | INFO     | Stratum.DataLoader | Loaded AAPL from cache: 1507 bars
2026-07-06 06:59:32,756 | INFO     | Stratum.DataLoader | Loaded TSLA from cache: 1507 bars
2026-07-06 06:59:32,763 | INFO     | Stratum.DataLoader | Loaded NVDA from cache: 1507 bars
2026-07-06 06:59:32,769 | INFO     | Stratum.DataLoader | Loaded GOOGL from cache: 1507 bars
2026-07-06 06:59:32,775 | INFO     | Stratum.DataLoader | Loaded AMD from cache: 1507 bars
2026-07-06 06:59:32,777 | INFO     | Stratum.UI | Data loaded: AAPL(1507 bars), TSLA(1507 bars), NVDA(1507 bars), GOOGL(1507 bars), AMD(1507 bars)
2026-07-06 06:59:32,787 | INFO     | Stratum.UI | Running backtest...
2026-07-06 06:59:33,719 | INFO     | Stratum.UI | Running AI analysis...
2026-07-06 06:59:33,721 | INFO     | Stratum.UI | Analysis complete.
2026-07-06 06:59:33,723 | INFO     | Stratum.UI | Backtest complete: 5 symbols analyzed.
2026-07-06 07:00:32,398 | INFO     | Stratum.UI | Optimizing AAPL...
2026-07-06 07:00:32,402 | INFO     | Stratum.DataLoader | Loaded AAPL from cache: 1507 bars
2026-07-06 07:00:32,402 | INFO     | Stratum.Optimizer | Optimizing AAPL: 625 combinations across ['rsi_buy_threshold', 'rsi_sell_threshold', 'stop_loss_pct', 'take_profit_pct']
2026-07-06 07:00:33,826 | INFO     | Stratum.Optimizer |   Progress: 10/625
2026-07-06 07:00:35,242 | INFO     | Stratum.Optimizer |   Progress: 20/625
2026-07-06 07:00:36,715 | INFO     | Stratum.Optimizer |   Progress: 30/625
2026-07-06 07:00:38,294 | INFO     | Stratum.Optimizer |   Progress: 40/625
2026-07-06 07:00:39,704 | INFO     | Stratum.Optimizer |   Progress: 50/625
2026-07-06 07:00:41,133 | INFO     | Stratum.Optimizer |   Progress: 60/625
2026-07-06 07:00:42,548 | INFO     | Stratum.Optimizer |   Progress: 70/625
2026-07-06 07:00:44,102 | INFO     | Stratum.Optimizer |   Progress: 80/625
2026-07-06 07:00:45,539 | INFO     | Stratum.Optimizer |   Progress: 90/625
2026-07-06 07:00:47,014 | INFO     | Stratum.Optimizer |   Progress: 100/625
2026-07-06 07:00:49,621 | INFO     | Stratum.Optimizer |   Progress: 110/625
2026-07-06 07:00:51,588 | INFO     | Stratum.Optimizer |   Progress: 120/625
2026-07-06 07:00:53,304 | INFO     | Stratum.Optimizer |   Progress: 130/625
2026-07-06 07:00:55,301 | INFO     | Stratum.Optimizer |   Progress: 140/625
2026-07-06 07:00:57,653 | INFO     | Stratum.Optimizer |   Progress: 150/625
2026-07-06 07:01:00,426 | INFO     | Stratum.Optimizer |   Progress: 160/625
2026-07-06 07:01:02,551 | INFO     | Stratum.Optimizer |   Progress: 170/625
2026-07-06 07:01:04,397 | INFO     | Stratum.Optimizer |   Progress: 180/625
2026-07-06 07:01:06,230 | INFO     | Stratum.Optimizer |   Progress: 190/625
2026-07-06 07:01:08,209 | INFO     | Stratum.Optimizer |   Progress: 200/625
2026-07-06 07:01:10,092 | INFO     | Stratum.Optimizer |   Progress: 210/625
2026-07-06 07:01:12,124 | INFO     | Stratum.Optimizer |   Progress: 220/625
2026-07-06 07:01:13,660 | INFO     | Stratum.Optimizer |   Progress: 230/625
2026-07-06 07:01:15,211 | INFO     | Stratum.Optimizer |   Progress: 240/625
2026-07-06 07:01:16,656 | INFO     | Stratum.Optimizer |   Progress: 250/625
2026-07-06 07:01:18,302 | INFO     | Stratum.Optimizer |   Progress: 260/625
2026-07-06 07:01:19,845 | INFO     | Stratum.Optimizer |   Progress: 270/625
2026-07-06 07:01:21,254 | INFO     | Stratum.Optimizer |   Progress: 280/625
2026-07-06 07:01:22,794 | INFO     | Stratum.Optimizer |   Progress: 290/625
2026-07-06 07:01:24,212 | INFO     | Stratum.Optimizer |   Progress: 300/625
2026-07-06 07:01:25,609 | INFO     | Stratum.Optimizer |   Progress: 310/625
2026-07-06 07:01:27,095 | INFO     | Stratum.Optimizer |   Progress: 320/625
2026-07-06 07:01:28,611 | INFO     | Stratum.Optimizer |   Progress: 330/625
2026-07-06 07:01:30,291 | INFO     | Stratum.Optimizer |   Progress: 340/625
2026-07-06 07:01:31,689 | INFO     | Stratum.Optimizer |   Progress: 350/625
2026-07-06 07:01:33,080 | INFO     | Stratum.Optimizer |   Progress: 360/625
2026-07-06 07:01:34,469 | INFO     | Stratum.Optimizer |   Progress: 370/625
2026-07-06 07:01:35,907 | INFO     | Stratum.Optimizer |   Progress: 380/625
2026-07-06 07:01:37,358 | INFO     | Stratum.Optimizer |   Progress: 390/625
2026-07-06 07:01:38,757 | INFO     | Stratum.Optimizer |   Progress: 400/625
2026-07-06 07:01:40,149 | INFO     | Stratum.Optimizer |   Progress: 410/625
2026-07-06 07:01:41,523 | INFO     | Stratum.Optimizer |   Progress: 420/625
2026-07-06 07:01:42,902 | INFO     | Stratum.Optimizer |   Progress: 430/625
2026-07-06 07:01:44,279 | INFO     | Stratum.Optimizer |   Progress: 440/625
2026-07-06 07:01:45,671 | INFO     | Stratum.Optimizer |   Progress: 450/625
2026-07-06 07:01:47,106 | INFO     | Stratum.Optimizer |   Progress: 460/625
2026-07-06 07:01:48,849 | INFO     | Stratum.Optimizer |   Progress: 470/625
2026-07-06 07:01:50,301 | INFO     | Stratum.Optimizer |   Progress: 480/625
2026-07-06 07:01:51,767 | INFO     | Stratum.Optimizer |   Progress: 490/625
2026-07-06 07:01:53,288 | INFO     | Stratum.Optimizer |   Progress: 500/625
2026-07-06 07:01:54,660 | INFO     | Stratum.Optimizer |   Progress: 510/625
2026-07-06 07:01:56,109 | INFO     | Stratum.Optimizer |   Progress: 520/625
2026-07-06 07:01:57,590 | INFO     | Stratum.Optimizer |   Progress: 530/625
2026-07-06 07:01:59,231 | INFO     | Stratum.Optimizer |   Progress: 540/625
2026-07-06 07:02:00,694 | INFO     | Stratum.Optimizer |   Progress: 550/625
2026-07-06 07:02:02,096 | INFO     | Stratum.Optimizer |   Progress: 560/625
2026-07-06 07:02:03,565 | INFO     | Stratum.Optimizer |   Progress: 570/625
2026-07-06 07:02:04,980 | INFO     | Stratum.Optimizer |   Progress: 580/625
2026-07-06 07:02:06,561 | INFO     | Stratum.Optimizer |   Progress: 590/625
2026-07-06 07:02:08,175 | INFO     | Stratum.Optimizer |   Progress: 600/625
2026-07-06 07:02:09,739 | INFO     | Stratum.Optimizer |   Progress: 610/625
2026-07-06 07:02:11,158 | INFO     | Stratum.Optimizer |   Progress: 620/625
2026-07-06 07:02:11,909 | INFO     | Stratum.Optimizer | Optimization complete for AAPL: best score=0.1455477
2026-07-06 07:02:11,910 | INFO     | Stratum.UI |   AAPL best: score=0.15, return=9.00%
2026-07-06 07:02:11,910 | INFO     | Stratum.UI | Optimizing TSLA...
2026-07-06 07:02:11,915 | INFO     | Stratum.DataLoader | Loaded TSLA from cache: 1507 bars
2026-07-06 07:02:11,915 | INFO     | Stratum.Optimizer | Optimizing TSLA: 625 combinations across ['rsi_buy_threshold', 'rsi_sell_threshold', 'stop_loss_pct', 'take_profit_pct']
2026-07-06 07:02:13,346 | INFO     | Stratum.Optimizer |   Progress: 10/625
2026-07-06 07:02:14,759 | INFO     | Stratum.Optimizer |   Progress: 20/625
2026-07-06 07:02:16,166 | INFO     | Stratum.Optimizer |   Progress: 30/625
2026-07-06 07:02:17,660 | INFO     | Stratum.Optimizer |   Progress: 40/625
2026-07-06 07:02:19,409 | INFO     | Stratum.Optimizer |   Progress: 50/625
2026-07-06 07:02:20,927 | INFO     | Stratum.Optimizer |   Progress: 60/625
2026-07-06 07:02:22,481 | INFO     | Stratum.Optimizer |   Progress: 70/625
2026-07-06 07:02:24,011 | INFO     | Stratum.Optimizer |   Progress: 80/625
2026-07-06 07:02:25,434 | INFO     | Stratum.Optimizer |   Progress: 90/625
2026-07-06 07:02:26,893 | INFO     | Stratum.Optimizer |   Progress: 100/625
2026-07-06 07:02:28,461 | INFO     | Stratum.Optimizer |   Progress: 110/625
2026-07-06 07:02:30,421 | INFO     | Stratum.Optimizer |   Progress: 120/625
2026-07-06 07:02:32,184 | INFO     | Stratum.Optimizer |   Progress: 130/625
2026-07-06 07:02:33,954 | INFO     | Stratum.Optimizer |   Progress: 140/625
2026-07-06 07:02:35,694 | INFO     | Stratum.Optimizer |   Progress: 150/625
2026-07-06 07:02:37,905 | INFO     | Stratum.Optimizer |   Progress: 160/625
2026-07-06 07:02:40,295 | INFO     | Stratum.Optimizer |   Progress: 170/625
2026-07-06 07:02:42,649 | INFO     | Stratum.Optimizer |   Progress: 180/625
2026-07-06 07:02:44,666 | INFO     | Stratum.Optimizer |   Progress: 190/625
